breed_name,youtube_title,https_url,youtube_id
x Cymric,Cymric Cat 101 : Breed &amp; Personality,https://www.youtube.com/watch?v=7nlR5UmYld0,7nlR5UmYld0
Cymric,🐱 Cats 101 🐱 CYMRIC CAT - Top Cat Facts about the CYMRIC,https://www.youtube.com/watch?v=vdP-yy4I4T4,vdP-yy4I4T4
Cymric,Cymric Cat 101 : Breed &amp; Personality | Cute &amp; Spunky Cats,https://www.youtube.com/watch?v=ZO-_C6qTFZc,ZO-_C6qTFZc
x Extra-Toes Cat,Veterinarian describes polydactyl cat x-rays,https://www.youtube.com/watch?v=IN45UK8snMY,IN45UK8snMY
x Havana,Cats 101: Havana Brown,https://www.youtube.com/watch?v=OWA6_wJcX50,OWA6_wJcX50
Havana,Havana Brown kittens 8 weeks old,https://www.youtube.com/watch?v=FRuYZ_mJmA0,FRuYZ_mJmA0
x Havana,Havana Brown Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=PQGcmdh15iE,PQGcmdh15iE
x Japanese Bobtail,Cats 101: Japanese Bobtail,https://www.youtube.com/watch?v=DK3rg6_e5t0,DK3rg6_e5t0
x Japanese Bobtail,7 Reasons You Should NOT Get a Japanese Bobtail Cat,https://www.youtube.com/watch?v=2e2B17SOIYM,2e2B17SOIYM
Japanese Bobtail,Japanese Bobtail Cat 101 : Breed &amp; Personality,https://www.youtube.com/watch?v=C57-fI4AMVA,C57-fI4AMVA
Korat,Jake The Korat Makes The Purr-fect Therapy Cat | Cats 101,https://www.youtube.com/watch?v=crjkoONh3gk,crjkoONh3gk
x Korat,Korat Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=krmn8ApIaxc,krmn8ApIaxc
x Korat,KORAT Cat 101 - Most underrated cat breed you&#39;ve never heard of,https://www.youtube.com/watch?v=gPxmbOORstI,gPxmbOORstI
LaPerm,The LaPerm Cat 101 : Breed &amp; Personality,https://www.youtube.com/watch?v=wUi2RZT1X5w,wUi2RZT1X5w
LaPerm,LaPerm Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=MUTyaw1bGd0,MUTyaw1bGd0
x LaPerm,Laperm Cats 101: Amazing Cat Facts In 60 Seconds 🐱🕒,https://www.youtube.com/watch?v=Fodz1lPNKd4,Fodz1lPNKd4
x Munchkin,The Truth About Munchkin Cats!! 😰,https://www.youtube.com/watch?v=8r_1u-8kWs8,8r_1u-8kWs8
Munchkin,How FAST can munchkin cats run?,https://www.youtube.com/watch?v=dBpOCditrv4,dBpOCditrv4
x Munchkin,Munchkin Cats 101 : Breed &amp; Personality,https://www.youtube.com/watch?v=8E-3P045bLc,8E-3P045bLc
x Nebelung,Nebelung Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=Ws1nUeFkXt0,Ws1nUeFkXt0
Nebelung,Nebelung Cat Opens The Door  And Questions Owners Audacity | Jinx The Nebelung |,https://www.youtube.com/watch?v=-yBIAhMGU50,-yBIAhMGU50
Nebelung,Nebelung Cat Having a Moan | Jinx The Neb,https://www.youtube.com/watch?v=Fh9ladszmQo,Fh9ladszmQo
x Ocicat,We&#39;re Wild for the Ocicat,https://www.youtube.com/watch?v=qPtG-EtS3QM,qPtG-EtS3QM
Ocicat,Ocicat Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=u4drOhPaqVo,u4drOhPaqVo
x Ocicat,Cats 101: Ocicat,https://www.youtube.com/watch?v=IGto3ulKTlA,IGto3ulKTlA
Need to find more Persian
Persian,"Persian, Bengal, and Abyssinian Kittens | Too Cute! (Full Episode)",https://www.youtube.com/watch?v=Y906sw15W1Y,Y906sw15W1Y
Persian,Tic Tac Toe with a Cat | White cute Persian cat,https://www.youtube.com/watch?v=orMcd_Bod8Y,orMcd_Bod8Y
Persian,Persian #Cat Giving Birth,https://www.youtube.com/watch?v=ErpYYoZL1Sk,ErpYYoZL1Sk
Pixie-Bob,Pixie-bob Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=fuBwSCcqEBA,fuBwSCcqEBA
Pixie-Bob,Pixie Bob chattering,https://www.youtube.com/watch?v=I10VlPcW-20,I10VlPcW-20
x Pixie-Bob,Pixie-Bob Cats: The Bobcat Look-Alike with a Sweet Temperament,https://www.youtube.com/watch?v=fEOVALWunL4,fEOVALWunL4
Ragamuffin,RAGAMUFFIN CAT 101 -  The Most UNDERRATED Fluffy Cat Breed,httpss://www.youtube.com/watch?v=bGztu_0BzxE,bGztu_0BzxE
Ragamuffin,7 Reasons You Should NOT Get A Ragamuffin Cat,https://www.youtube.com/watch?v=mpbCvHnCHjk,mpbCvHnCHjk
Ragamuffin,Ragamuffin Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=EeKi_qjw2SI,EeKi_qjw2SI
Ragdoll,Testing to see which kittens pass the Ragdoll test,https://www.youtube.com/watch?v=wuaam4Eus7g,wuaam4Eus7g
Ragdoll,"Ragdoll, Burmese, and Sphynx Kittens | Too Cute! (Full Episode)",https://www.youtube.com/watch?v=4iYsqsXGpkU,4iYsqsXGpkU
Ragdoll,Ragdoll Cat 101 - Learn EVERYTHING About Them!,https://www.youtube.com/watch?v=9vOgfwKQckY,9vOgfwKQckY
Russian Blue,Russian Blue Cat Competes For #1 Spot Of Worlds Best Cat,https://www.youtube.com/watch?v=h9DN1GhBvpw,h9DN1GhBvpw
Russian Blue,Russian Blue 🐱 One Of The Most Beautiful Cat Breeds In The World #shorts,https://www.youtube.com/watch?v=7-ABXxRAnaY,7-ABXxRAnaY
Russian Blue,Is a Russian Blue the Right Cat for You?,https://www.youtube.com/watch?v=A1_eCE-KaPY,A1_eCE-KaPY
Scottish Fold,Scottish Fold,https://www.youtube.com/watch?v=RIbgVubaEvw,RIbgVubaEvw
Scottish Fold,Scottish Fold Cat 101 - Must Watch Before Getting One | Cat Breeds 101,https://www.youtube.com/watch?v=mlNJMpBtNzo,mlNJMpBtNzo
Scottish Fold,The Truth About The Cat Breed: SCOTTISH FOLD 🤯,https://www.youtube.com/watch?v=-GWJhRqwHb4,-GWJhRqwHb4
Siberian,Siberian Cat 🐶 One Of The Most Expensive Cat Breeds In The World #shorts,https://www.youtube.com/watch?v=uCwNdqBCyQo,uCwNdqBCyQo
Siberian,SIBERIAN Cat 101 - EVERYTHING You NEED To Know! | Cat Breeds 101,https://www.youtube.com/watch?v=odITeShYi6c,odITeShYi6c
Singapura,The Tiny Singapura Is The Smallest Of All Cat Breeds | Cats 101,https://www.youtube.com/watch?v=LvTUk0-dFXE,LvTUk0-dFXE
Singapura,Singapura Cats 101 : Fun Facts &amp; Myths,https://www.youtube.com/watch?v=dPlyy9WFJuM,dPlyy9WFJuM
Singapura,Singapura #cat #catlovers #catbreeds #breeds #catshorts #shorts #singapura #cute #smallcats,https://www.youtube.com/watch?v=86LHKtYPeJA,86LHKtYPeJA
